鬘,かつら,toupee; wig,<ruby>彼<rt>かれ</rt></ruby>はかつらをつけているらしい。,He seems to be wearing a wig.,
飛び切り,とびきり,by far; exceptionally,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>飛び<ruby>切<rt>とびき</rt></ruby>りの <ruby>笑顔<rt>えがお</rt></ruby>を <ruby>見<rt>み</rt></ruby>せてくれた。,She smiled broadly at us.,
難航,なんこう,rough going,<ruby>交渉<rt>こうしょう</rt></ruby>は <ruby>難航<rt>なんこう</rt></ruby>しています。,The negotiations are rough-going.,
持て成し,もてなし,hospitality; treatment,<ruby>素晴<rt>すば</rt></ruby>らしいおもてなしを <ruby>有難<rt>ありがた</rt></ruby>うございます。,Thank you for such wonderful entertainment.,
成り行き,なりゆき,course of events,あまり <ruby>考<rt>かんが</rt></ruby>えすぎずに <ruby>成り<ruby>行<rt>なりゆ</rt></ruby>きにまかせましょう。,Let's allow nature to take its course and not think too much about it.,
持て成す,もてなす,entertain,<ruby>彼<rt>かれ</rt></ruby>はお <ruby>客様<rt>きゃくさま</rt></ruby>をもてなした。,He wined and dined his customer.,
成算,せいさん,prospects of success,<ruby>彼<rt>かれ</rt></ruby>は <ruby>成算<rt>せいさん</rt></ruby>があると <ruby>確信<rt>かくしん</rt></ruby>して <ruby>議員<rt>ぎいん</rt></ruby>に <ruby>立候補<rt>りっこうほ</rt></ruby>した。,He ran for office with the conviction that he would be successful.,
ひしひしと,ひしひしと,acutely; severely,<ruby>彼<rt>かれ</rt></ruby>のいない <ruby>寂<rt>さび</rt></ruby>しさをひしひしと <ruby>感<rt>かん</rt></ruby>じた。,I fully felt the loneliness of missing him.,
見失う,みうしなう,lose sight of,<ruby>彼<rt>かれ</rt></ruby>は <ruby>人生<rt>じんせい</rt></ruby>の <ruby>目的<rt>もくてき</rt></ruby>を <ruby>見失<rt>みうしな</rt></ruby>っている。,He has lost sight of the purpose of life.,
原書,げんしょ,the original,<ruby>彼<rt>かれ</rt></ruby>は <ruby>専門<rt>せんもん</rt></ruby> <ruby>書<rt>しょ</rt></ruby>を <ruby>原書<rt>げんしょ</rt></ruby>で <ruby>読<rt>よ</rt></ruby>んでいます。,He is reading the original document of a technical book.,
原っぱ,はらっぱ,empty lot; open field,<ruby>子供<rt>こども</rt></ruby>たちは <ruby>原<rt>はら</rt></ruby>っぱで <ruby>遊<rt>あそ</rt></ruby>んでいます。,Children are playing in the field.,
資本家,しほんか,capitalist,<ruby>日本<rt>にほん</rt></ruby>の <ruby>資本<rt>しほん</rt></ruby> <ruby>家<rt>か</rt></ruby>にとっては <ruby>難<rt>むずか</rt></ruby>しい <ruby>状況<rt>じょうきょう</rt></ruby>です。,It is a difficult situation for Japanese financiers.,
請願,せいがん,petition,<ruby>役所<rt>やくしょ</rt></ruby>は <ruby>住民<rt>じゅうみん</rt></ruby>の <ruby>請願<rt>せいがん</rt></ruby>を <ruby>受理<rt>じゅり</rt></ruby>した。,The public office accepted the residents' petition.,
願わくは,ねがわくは,I pray; I wish,<ruby>願<rt>ねが</rt></ruby>わくは <ruby>来週<rt>らいしゅう</rt></ruby> <ruby>中<rt>ちゅう</rt></ruby>には <ruby>帰<rt>かえ</rt></ruby>りたい。,Hopefully; I shall be able to return next week.,
正す,ただす,correct; set right,<ruby>彼<rt>かれ</rt></ruby>は <ruby>考<rt>かんが</rt></ruby>えを <ruby>正<rt>ただ</rt></ruby>す <ruby>必要<rt>ひつよう</rt></ruby>があります。,He needs to get his ideas straight.,
常用漢字,じょうようかんじ,Chinese characters for daily use,<ruby>常用漢字<rt>じょうようかんじ</rt></ruby>は 2000 <ruby>字<rt>じ</rt></ruby> <ruby>近<rt>ちか</rt></ruby>くあります。,There are about 2;000 Chinese characters which are used regularly.,
非行,ひこう,delinquency; misdeed,<ruby>子供<rt>こども</rt></ruby>たちの <ruby>非行<rt>ひこう</rt></ruby>を <ruby>防<rt>ふせ</rt></ruby>ぐ <ruby>方法<rt>ほうほう</rt></ruby>を <ruby>考<rt>かんが</rt></ruby>えましょう。,Let's devise ways to prevent juvenile delinquency.,
アリバイ,ありばい,alibi,<ruby>彼<rt>かれ</rt></ruby>にはアリバイがあったので <ruby>無罪<rt>むざい</rt></ruby>になった。,Because he had an alibi; he was found innocent.,
取り調べ,とりしらべ,inquiry; investigation,<ruby>容疑<rt>ようぎ</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>は <ruby>今<rt>いま</rt></ruby> <ruby>取り<ruby>調<rt>とりしら</rt></ruby>べを <ruby>受<rt>う</rt></ruby>けています。,The suspect is under investigation now.,
歩調,ほちょう,pace; step,みんなで <ruby>歩調<rt>ほちょう</rt></ruby>を <ruby>合<rt>あ</rt></ruby>わせて <ruby>行進<rt>こうしん</rt></ruby>した。,We all marched in step.,
均整,きんせい,symmetry,<ruby>彼<rt>かれ</rt></ruby>は <ruby>均整<rt>きんせい</rt></ruby>がとれた <ruby>顔立<rt>かおだ</rt></ruby>ちをしている。,He has symmetrical facial features.,
使節,しせつ,ambassador; envoy,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>親善<rt>しんぜん</rt></ruby> <ruby>使節<rt>しせつ</rt></ruby>としても <ruby>活躍<rt>かつやく</rt></ruby>している。,She is acting as a goodwill ambassador.,
お節料理,おせちりょうり,festive food for the New Year,<ruby>母<rt>はは</rt></ruby>の <ruby>作<rt>つく</rt></ruby>るお <ruby>節<rt>せち</rt></ruby> <ruby>料理<rt>りょうり</rt></ruby>は <ruby>美味<rt>おい</rt></ruby>しいです。,The food that my mother makes for New Year's is delicious.,
大前提,だいぜんてい,major premise,この <ruby>会社<rt>かいしゃ</rt></ruby>で <ruby>働<rt>はたら</rt></ruby>くには <ruby>経済<rt>けいざい</rt></ruby>を <ruby>理解<rt>りかい</rt></ruby>していることが <ruby>大前提<rt>だいぜんてい</rt></ruby>だ。,An understanding of economics is an important prerequisite to working at this company.,
名案,めいあん,splendid idea,<ruby>彼<rt>かれ</rt></ruby>は <ruby>名案<rt>めいあん</rt></ruby>を <ruby>思<rt>おも</rt></ruby>いついた。,He hit on a good idea.,
標語,ひょうご,motto; slogan,<ruby>交通<rt>こうつう</rt></ruby> <ruby>安全<rt>あんぜん</rt></ruby>の <ruby>標語<rt>ひょうご</rt></ruby>が <ruby>決<rt>き</rt></ruby>まった。,The traffic safety slogan has been decided.,
連なる,つらなる,range; stand in a row,<ruby>険<rt>けわ</rt></ruby>しい <ruby>山々<rt>やまやま</rt></ruby>が <ruby>連<rt>つら</rt></ruby>なっています。,There is a row of steep mountains.,
ずるずる,ずるずる,let slide; put off,<ruby>彼<rt>かれ</rt></ruby>はその <ruby>仕事<rt>しごと</rt></ruby>をずるずると <ruby>後回<rt>あとまわ</rt></ruby>しにしている。,He is dragging his feet and putting off the work.,
連ねる,つらねる,join; put in a row,オートバイを <ruby>連<rt>つら</rt></ruby>ねてツーリングに <ruby>行<rt>い</rt></ruby>った。,A stream of motorcycles went touring.,
立て続けに,たてつづけに,in succession,<ruby>今日<rt>きょう</rt></ruby>は <ruby>立て<ruby>続<rt>たてつづ</rt></ruby>けに 3<ruby>本<rt>さんぼん</rt></ruby>も DVDを <ruby>見<rt>み</rt></ruby>た。,I watched three DVDs in a row today.,
様相,ようそう,aspect; phase,そのテクノロジーは <ruby>企業<rt>きぎょう</rt></ruby>に <ruby>新<rt>あら</rt></ruby>たな <ruby>様相<rt>ようそう</rt></ruby>をもたらした。,That technology brought a new dimension to the corporation.,
不相応,ふそうおう,unbecoming; unsuited,<ruby>彼<rt>かれ</rt></ruby>らの <ruby>暮<rt>く</rt></ruby>らしは <ruby>身分<rt>みぶん</rt></ruby> <ruby>不相応<rt>ふそうおう</rt></ruby>に <ruby>贅沢<rt>ぜいたく</rt></ruby>だ。,Their extravagant lifestyle is not appropriate to their position.,
記す,しるす,record; write down,これは <ruby>偉大<rt>いだい</rt></ruby>な <ruby>画家<rt>がか</rt></ruby>の <ruby>一生<rt>いっしょう</rt></ruby>を <ruby>記<rt>しる</rt></ruby>した <ruby>本<rt>ほん</rt></ruby>です。,This book records the life of a great painter.,
秒読み,びょうよみ,countdown,オリンピック <ruby>開催<rt>かいさい</rt></ruby>まで <ruby>秒読<rt>びょうよ</rt></ruby>み <ruby>段階<rt>だんかい</rt></ruby>です。,We are counting down to the opening of the Olympics.,
関税,かんぜい,custom duty; customs,この <ruby>商品<rt>しょうひん</rt></ruby>には <ruby>高<rt>たか</rt></ruby>い <ruby>関税<rt>かんぜい</rt></ruby>がかかっている。,The duty on this product is high.,
関門,かんもん,barrier; gateway,ここがこのコースの <ruby>最大<rt>さいだい</rt></ruby>の <ruby>関門<rt>かんもん</rt></ruby>です。,This is the biggest barrier in this course.,
白状,はくじょう,confession,<ruby>彼<rt>かれ</rt></ruby>はついに <ruby>浮気<rt>うわき</rt></ruby>を <ruby>白状<rt>はくじょう</rt></ruby>した。,He finally confessed to having an affair.,
おでこ,おでこ,forehead,<ruby>彼<rt>かれ</rt></ruby>は <ruby>私<rt>わたし</rt></ruby>のおでこにキスした。,He kissed my forehead.,
治める,おさめる,govern,<ruby>彼<rt>かれ</rt></ruby>は <ruby>国<rt>くに</rt></ruby>を <ruby>平和<rt>へいわ</rt></ruby>に <ruby>治<rt>おさ</rt></ruby>めました。,He peacefully ruled the country.,
選り分ける,よりわける,classify; sort out,<ruby>使<rt>つか</rt></ruby>う <ruby>物<rt>もの</rt></ruby>と <ruby>捨<rt>す</rt></ruby>てる <ruby>物<rt>もの</rt></ruby>とをより <ruby>分<rt>わ</rt></ruby>けた。,I separated the useful things from the garbage.,
一挙に,いっきょに,at a stroke,<ruby>彼<rt>かれ</rt></ruby>のチームは <ruby>一挙<rt>いっきょ</rt></ruby>に 5 <ruby>点<rt>てん</rt></ruby>も <ruby>入<rt>い</rt></ruby>れた。,His team got five points all at once.,
択一,たくいつ,multiple choice,<ruby>私<rt>わたし</rt></ruby>は <ruby>択一<rt>たくいつ</rt></ruby> <ruby>問題<rt>もんだい</rt></ruby>が <ruby>得意<rt>とくい</rt></ruby>だ。,I am good at multiple choice questions.,
補欠,ほけつ,substitute,<ruby>彼<rt>かれ</rt></ruby>は <ruby>補欠<rt>ほけつ</rt></ruby>メンバーだったが <ruby>試合<rt>しあい</rt></ruby>に <ruby>出<rt>で</rt></ruby>た。,He played in the match even though he was a substitute.,
大脳,だいのう,cerebrum,ヒトの <ruby>大脳<rt>だいのう</rt></ruby>は <ruby>非常<rt>ひじょう</rt></ruby>に <ruby>発達<rt>はったつ</rt></ruby>している。,The large human brain is highly developed.,
年頭,ねんとう,beginning of the year,<ruby>会長<rt>かいちょう</rt></ruby>が <ruby>年頭<rt>ねんとう</rt></ruby>の <ruby>挨拶<rt>あいさつ</rt></ruby>をした。,The chairman made his New Year speech.,
顔立ち,かおだち,features; looks,<ruby>彼<rt>かれ</rt></ruby>は <ruby>整<rt>ととの</rt></ruby>った <ruby>顔立<rt>かおだ</rt></ruby>ちをしている。,He has regular facial features.,
顔なじみ,かおなじみ,familiar face; friend,<ruby>彼<rt>かれ</rt></ruby>はその <ruby>店<rt>みせ</rt></ruby>では <ruby>顔<rt>かお</rt></ruby>なじみだ。,He is a regular in that shop.,
プロテスタント,ぷろてすたんと,Protestant,<ruby>友人<rt>ゆうじん</rt></ruby>はプロテスタント <ruby>信者<rt>しんじゃ</rt></ruby>です。,My friend is a Protestant.,
命日,めいにち,anniversary of death,<ruby>今日<rt>きょう</rt></ruby>は <ruby>祖母<rt>そぼ</rt></ruby>の <ruby>命日<rt>めいにち</rt></ruby>です。,It is my grandmother's memorial day today.,
命ずる,めいずる,appoint; order,<ruby>私<rt>わたし</rt></ruby>は <ruby>課長<rt>かちょう</rt></ruby>の <ruby>命<rt>めい</rt></ruby>ずるままに <ruby>動<rt>うご</rt></ruby>いた。,I did as the section manager commanded.,
領海,りょうかい,territorial water,<ruby>日本<rt>にほん</rt></ruby>の <ruby>領海<rt>りょうかい</rt></ruby> <ruby>内<rt>ない</rt></ruby>にスパイ <ruby>船<rt>せん</rt></ruby>が <ruby>送り<ruby>込<rt>おくりこ</rt></ruby>まれた。,A spy boat was sent into Japanese territorial waters.,
領空,りょうくう,airspace,ここはフランスの <ruby>領<rt>りょう</rt></ruby> <ruby>空域<rt>くういき</rt></ruby>です。,This is French airspace.,
乗組員,のりくみいん,crew,この <ruby>船<rt>ふね</rt></ruby>には 28 <ruby>名<rt>めい</rt></ruby>の <ruby>乗組<rt>のりくみ</rt></ruby> <ruby>員<rt>いん</rt></ruby>がいます。,This ship has a crew of 28.,
織る,おる,weave,この <ruby>工場<rt>こうじょう</rt></ruby>では <ruby>布<rt>ぬの</rt></ruby>を <ruby>織<rt>お</rt></ruby>っている。,They weave cloth in this factory.,
直進,ちょくしん,straight on,この <ruby>道<rt>みち</rt></ruby>を <ruby>直進<rt>ちょくしん</rt></ruby>してください。,Please go straight on this road.,
類推,るいすい,analogy,<ruby>彼<rt>かれ</rt></ruby>は <ruby>過去<rt>かこ</rt></ruby>の <ruby>事例<rt>じれい</rt></ruby>から <ruby>解決<rt>かいけつ</rt></ruby> <ruby>案<rt>あん</rt></ruby>を <ruby>類推<rt>るいすい</rt></ruby>しようとした。,He tried to draw an analogy between the settlement plan and past cases.,
推量,すいりょう,conjecture; guess,<ruby>試合<rt>しあい</rt></ruby>に <ruby>勝<rt>か</rt></ruby>つには <ruby>相手<rt>あいて</rt></ruby>の <ruby>次<rt>つぎ</rt></ruby>の <ruby>動<rt>うご</rt></ruby>きを <ruby>推量<rt>すいりょう</rt></ruby>することが <ruby>大切<rt>たいせつ</rt></ruby>だ。,To win the game you must guess the opposition's next move.,
あながち,あながち,not necessarily,<ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>言葉<rt>ことば</rt></ruby>はあながち <ruby>嘘<rt>うそ</rt></ruby>ではありません。,She is not necessarily telling lies.,
責める,せめる,blame; torture,そんなに <ruby>彼<rt>かれ</rt></ruby>を <ruby>責<rt>せ</rt></ruby>めては <ruby>可哀相<rt>かわいそう</rt></ruby>です。,It is a shame to blame him so much.,
委ねる,ゆだねる,entrust,<ruby>彼<rt>かれ</rt></ruby>は <ruby>仕事<rt>しごと</rt></ruby>の <ruby>一切<rt>いっさい</rt></ruby>を <ruby>部下<rt>ぶか</rt></ruby>にゆだねた。,He entrusted all the tasks to his subordinate.,
託す,たくす,entrust,<ruby>彼<rt>かれ</rt></ruby>は <ruby>息子<rt>むすこ</rt></ruby>に <ruby>夢<rt>ゆめ</rt></ruby>を <ruby>託<rt>たく</rt></ruby>した。,He entrusted his son with the dream.,
服従,ふくじゅう,obedience; submission,あの <ruby>人<rt>ひと</rt></ruby>は <ruby>社長<rt>しゃちょう</rt></ruby>の <ruby>命令<rt>めいれい</rt></ruby>には <ruby>絶対<rt>ぜったい</rt></ruby> <ruby>服従<rt>ふくじゅう</rt></ruby>だ。,That person invariably obeys the president's commands.,
従える,したがえる,be accompanied by; conquer,チームを <ruby>従<rt>したが</rt></ruby>えて <ruby>監督<rt>かんとく</rt></ruby>が <ruby>入場<rt>にゅうじょう</rt></ruby>してきた。,The coach entered accompanied by the team.,
募る,つのる,raise; recruit,ボランティアの <ruby>参加<rt>さんか</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>を <ruby>募<rt>つの</rt></ruby>っています。,We are recruiting volunteer participants.,
集る,たかる,extort,<ruby>新型<rt>しんがた</rt></ruby>のパソコンに <ruby>人<rt>ひと</rt></ruby>がたかっている。,People are flocking to get the new personal computer.,
採決,さいけつ,ballot; vote,<ruby>予算<rt>よさん</rt></ruby> <ruby>案<rt>あん</rt></ruby>は <ruby>明日<rt>あす</rt></ruby> <ruby>採決<rt>さいけつ</rt></ruby>されます。,The budget proposals will be voted on tomorrow.,
つやつや,つやつや,glossy,<ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>髪<rt>かみ</rt></ruby>はつやつやしている。,Her hair is glossy.,
初任給,しょにんきゅう,initial salary,<ruby>初任<rt>しょにん</rt></ruby> <ruby>給<rt>きゅう</rt></ruby>をもらって <ruby>感激<rt>かんげき</rt></ruby>です。,I felt quite emotional when I got my initial salary.,
内職,ないしょく,moonlight; side job,<ruby>母<rt>はは</rt></ruby>は <ruby>内職<rt>ないしょく</rt></ruby>を <ruby>始<rt>はじ</rt></ruby>めました。,My mother started working from home.,
辞職,じしょく,resignation,<ruby>彼<rt>かれ</rt></ruby>は <ruby>先週<rt>せんしゅう</rt></ruby> <ruby>辞職<rt>じしょく</rt></ruby>した。,He resigned last week.,
退く,のく,back; retreat,<ruby>車<rt>くるま</rt></ruby>が <ruby>通<rt>とお</rt></ruby>るのでそこを <ruby>退<rt>の</rt></ruby>いてください。,A car is passing so please move out of the way.,
退ける,のける,drive away; keep away,テーブルの <ruby>本<rt>ほん</rt></ruby>を <ruby>退<rt>の</rt></ruby>けて <ruby>荷物<rt>にもつ</rt></ruby>を <ruby>置<rt>お</rt></ruby>きました。,I moved the book off the table and put the luggage there.,
退ける,どける,drive away,その <ruby>大<rt>おお</rt></ruby>きな <ruby>箱<rt>はこ</rt></ruby>をどけてください。,Please remove that big box.,
立ち退く,たちのく,leave; vacate,この <ruby>家<rt>いえ</rt></ruby>から<ruby>一ヶ <ruby>月<rt>げつ</rt></ruby> <ruby>以内<rt>いない</rt></ruby>に <ruby>立ち<ruby>退<rt>たちの</rt></ruby>いてください。,Please clear out of this house within one month.,
妥結,だけつ,agreement; compromise,2 <ruby>社<rt>しゃ</rt></ruby>の <ruby>交渉<rt>こうしょう</rt></ruby>が <ruby>妥結<rt>だけつ</rt></ruby>しました。,The negotiations between the two companies ended in agreement.,
発条,ばね,spring,あの <ruby>選手<rt>せんしゅ</rt></ruby>はばねのある <ruby>体<rt>からだ</rt></ruby>をしている。,That player has a physique like a power spring.,
ずらす,ずらす,shift,その <ruby>絵<rt>え</rt></ruby>をもう <ruby>少<rt>すこ</rt></ruby>し <ruby>右<rt>みぎ</rt></ruby>にずらしてください。,Please move the picture to the right a little more.,
不条理,ふじょうり,absurdity,<ruby>悪<rt>あく</rt></ruby>が <ruby>勝<rt>か</rt></ruby>つなんて <ruby>不条理<rt>ふじょうり</rt></ruby>な <ruby>世の<ruby>中<rt>よのなか</rt></ruby>ですね。,It is an irrational world where evil wins.,
追い込む,おいこむ,drive; run on,その <ruby>大臣<rt>だいじん</rt></ruby>は <ruby>辞任<rt>じにん</rt></ruby>に <ruby>追い<ruby>込<rt>おいこ</rt></ruby>まれた。,The minister was driven to resign.,
判事,はんじ,judge,<ruby>判事<rt>はんじ</rt></ruby>が <ruby>判決<rt>はんけつ</rt></ruby>を <ruby>下<rt>くだ</rt></ruby>した。,The judge handed down the verdict.,
感受性,かんじゅせい,sensibility,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>感受性<rt>かんじゅせい</rt></ruby>が <ruby>豊<rt>ゆた</rt></ruby>かです。,She is sensitive.,
感ずる,かんずる,feel; sense,<ruby>彼<rt>かれ</rt></ruby>は <ruby>責任<rt>せきにん</rt></ruby>を <ruby>感<rt>かん</rt></ruby>じ <ruby>辞職<rt>じしょく</rt></ruby>した。,He took responsibility and resigned.,
耳障り,みみざわり,stridency,<ruby>耳障<rt>みみざわ</rt></ruby>りな <ruby>音<rt>おと</rt></ruby>がした。,There was a jarring sound.,
障る,さわる,hinder; interfere with,<ruby>余<rt>あま</rt></ruby>りお <ruby>酒<rt>さけ</rt></ruby>を <ruby>飲<rt>の</rt></ruby>むと <ruby>身体<rt>からだ</rt></ruby>に <ruby>障<rt>さわ</rt></ruby>りますよ。,It is not good for you if you drink too much.,
気障,きざ,affected; snobbish,<ruby>彼<rt>かれ</rt></ruby>はかなりきざな <ruby>人<rt>ひと</rt></ruby>です。,He is a bit of a show-off.,
修める,おさめる,cultivate; master,<ruby>彼<rt>かれ</rt></ruby>は <ruby>素晴<rt>すば</rt></ruby>らしい <ruby>成績<rt>せいせき</rt></ruby>を <ruby>修<rt>おさ</rt></ruby>めた。,He cultivated a fantastic track record.,
けじめ,けじめ,distinction,<ruby>自分<rt>じぶん</rt></ruby>でしたことのけじめは <ruby>自分<rt>じぶん</rt></ruby>でつけなさい。,Make the distinction between right and wrong yourself.,
軽傷,けいしょう,slight injury,<ruby>交通<rt>こうつう</rt></ruby> <ruby>事故<rt>じこ</rt></ruby>に <ruby>遭<rt>あ</rt></ruby>ったが <ruby>軽傷<rt>けいしょう</rt></ruby>で <ruby>済<rt>す</rt></ruby>んだ。,I had a traffic accident but I only sustained a slight injury.,
傷む,いたむ,be damaged; rot,このリンゴは <ruby>傷<rt>いた</rt></ruby>んでいる。,This apple is bad.,
災い,わざわい,disaster,<ruby>口<rt>くち</rt></ruby>は <ruby>災<rt>わざわ</rt></ruby>いの <ruby>元<rt>もと</rt></ruby>です。,The mouth is the source of misfortune.,
加害者,かがいしゃ,assailant; assaulter,<ruby>加害<rt>かがい</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>は <ruby>重<rt>おも</rt></ruby>い <ruby>責任<rt>せきにん</rt></ruby>を <ruby>問<rt>と</rt></ruby>われている。,The assailant was held responsible.,
害する,がいする,harm; injure,<ruby>不規則<rt>ふきそく</rt></ruby>な <ruby>生活<rt>せいかつ</rt></ruby>は <ruby>健康<rt>けんこう</rt></ruby>を <ruby>害<rt>がい</rt></ruby>します。,An irregular routine can damage your health.,
後援,こうえん,backing; support,この <ruby>芝居<rt>しばい</rt></ruby>の <ruby>後援<rt>こうえん</rt></ruby>は テレビ<ruby>局<rt>てれびきょく</rt></ruby>です。,A TV station is sponsoring this play.,
相殺,そうさい,cancellation; offset,<ruby>借入金<rt>かりいれきん</rt></ruby>と <ruby>預金<rt>よきん</rt></ruby>を <ruby>相殺<rt>そうさい</rt></ruby>した。,My borrowings and savings cancelled each other out.,
人殺し,ひとごろし,murder; murderer,その <ruby>人殺<rt>ひとごろ</rt></ruby>しはやっと <ruby>捕<rt>つか</rt></ruby>まった。,The murderer was finally caught.,
他殺,たさつ,homicide; murder,その <ruby>事件<rt>じけん</rt></ruby>は <ruby>間違<rt>まちが</rt></ruby>いなく <ruby>他殺<rt>たさつ</rt></ruby>だ。,The case is murder; without a doubt.,
それとなく,それとなく,indirectly,<ruby>彼女<rt>かのじょ</rt></ruby>にそれとなく <ruby>注意<rt>ちゅうい</rt></ruby>しておいてください。,Please warn her indirectly.,
殺気,さっき,stormy atmosphere,<ruby>彼<rt>かれ</rt></ruby>は <ruby>背後<rt>はいご</rt></ruby>に <ruby>殺気<rt>さっき</rt></ruby>を <ruby>感<rt>かん</rt></ruby>じた。,He sensed a strange atmosphere behind him.,
捕らえる,とらえる,capture; catch,<ruby>警察<rt>けいさつ</rt></ruby>が <ruby>犯人<rt>はんにん</rt></ruby>を <ruby>捕<rt>と</rt></ruby>らえた。,The police arrested the criminal.,
捕らわれる,とらわれる,be caught,<ruby>私<rt>わたし</rt></ruby>は <ruby>先入観<rt>せんにゅうかん</rt></ruby>に <ruby>捕<rt>と</rt></ruby>らわれていました。,I was misled by my own preconceived notions.,
見逃す,みのがす,miss; overlook,ドラマの <ruby>最終<rt>さいしゅう</rt></ruby> <ruby>回<rt>かい</rt></ruby>を <ruby>見逃<rt>みのが</rt></ruby>した。,We missed the final episode of the drama.,
逃れる,のがれる,escape; get clear of,<ruby>彼<rt>かれ</rt></ruby>はこの <ruby>苦<rt>くる</rt></ruby>しみから <ruby>逃<rt>のが</rt></ruby>れたかった。,He wanted to escape from this suffering.,
逃げ足,にげあし,flight; running away,あいつは <ruby>逃げ<ruby>足<rt>にげあし</rt></ruby>だけは <ruby>速<rt>はや</rt></ruby>い。,He is only fast when he is running away.,
反戦,はんせん,antiwar,あのグループは <ruby>反戦<rt>はんせん</rt></ruby>を <ruby>訴<rt>うった</rt></ruby>えています。,That group is taking action against the war.,
戦災,せんさい,war damage,<ruby>日本<rt>にほん</rt></ruby>は <ruby>戦災<rt>せんさい</rt></ruby>から <ruby>立ち<ruby>直<rt>たちなお</rt></ruby>った。,Japan recovered from war damage.,
争議,そうぎ,dispute; strike,<ruby>彼<rt>かれ</rt></ruby>はその 2 <ruby>社<rt>しゃ</rt></ruby> <ruby>間<rt>かん</rt></ruby>の <ruby>争議<rt>そうぎ</rt></ruby>が <ruby>解決<rt>かいけつ</rt></ruby>するよう <ruby>努<rt>つと</rt></ruby>めた。,He tried to resolve the dispute between the two companies.,
タンカー,たんかー,tanker,タンカーが <ruby>入港<rt>にゅうこう</rt></ruby>した。,The tanker entered the port.,
反乱,はんらん,rebellion; revolt,<ruby>軍<rt>ぐん</rt></ruby>の <ruby>内部<rt>ないぶ</rt></ruby>で <ruby>反乱<rt>はんらん</rt></ruby>が <ruby>起<rt>お</rt></ruby>きた。,A revolt arose in the army.,
動乱,どうらん,disturbance; upheaval,<ruby>今<rt>いま</rt></ruby>あの <ruby>国<rt>くに</rt></ruby>では <ruby>動乱<rt>どうらん</rt></ruby>が <ruby>起<rt>お</rt></ruby>きています。,Unrest is happening in that country now.,
乱雑,らんざつ,confusion; disorder,<ruby>彼<rt>かれ</rt></ruby>は <ruby>仕事<rt>しごと</rt></ruby>が <ruby>乱雑<rt>らんざつ</rt></ruby>です。,His work is chaotic.,
紛れ,まぐれ,confusion,まぐれでホールインワンしました。,I got a hole-in-one by accident.,
紛らわしい,まぎらわしい,confusing; misleading,あの <ruby>二人<rt>ふたり</rt></ruby>の <ruby>名前<rt>なまえ</rt></ruby>は <ruby>紛<rt>まぎ</rt></ruby>らわしい。,Those two people's names are confusing.,
紛れる,まぎれる,be diverted from; get mixed with,<ruby>犯人<rt>はんにん</rt></ruby>は <ruby>雑踏<rt>ざっとう</rt></ruby>に <ruby>紛<rt>まぎ</rt></ruby>れた。,The criminal took advantage of the bustle.,
紛らす,まぎらす,beguile; divert,<ruby>彼<rt>かれ</rt></ruby>は <ruby>淋<rt>さび</rt></ruby>しい <ruby>気持<rt>きも</rt></ruby>ちをジョークで <ruby>紛<rt>まぎ</rt></ruby>らした。,He hid his loneliness behind humor.,
総論,そうろん,introduction; outline,<ruby>物事<rt>ものごと</rt></ruby>を <ruby>説明<rt>せつめい</rt></ruby>するには <ruby>総論<rt>そうろん</rt></ruby>から <ruby>入<rt>はい</rt></ruby>ると <ruby>分<rt>わ</rt></ruby>かりやすい。,When explaining things; it is easy to understand if you start from the basics.,
手探り,てさぐり,groping,<ruby>暗闇<rt>くらやみ</rt></ruby>を <ruby>手探<rt>てさぐ</rt></ruby>りで <ruby>進<rt>すす</rt></ruby>みました。,I went forward groping in the dark.,
こそこそ,こそこそ,secretly; sneak,<ruby>遅刻<rt>ちこく</rt></ruby>したのでこそこそ <ruby>教室<rt>きょうしつ</rt></ruby>に <ruby>入<rt>はい</rt></ruby>った。,I was late so I sneaked into the classroom.,
四捨五入,ししゃごにゅう,rounding off,10 <ruby>円<rt>えん</rt></ruby> <ruby>未満<rt>みまん</rt></ruby>は <ruby>四捨五入<rt>ししゃごにゅう</rt></ruby>してください。,Please round off amounts under ten yen.,
切り捨てる,きりすてる,cut down; omit,<ruby>小数点<rt>しょうすうてん</rt></ruby> <ruby>以下<rt>いか</rt></ruby>は <ruby>切り<ruby>捨<rt>きりす</rt></ruby>てて <ruby>下<rt>くだ</rt></ruby>さい。,Please round down to the nearest whole number.,
見捨てる,みすてる,desert; forsake,<ruby>私<rt>わたし</rt></ruby>たちを <ruby>見捨<rt>みす</rt></ruby>てないでください。,Please do not desert us.,
収拾,しゅうしゅう,control,<ruby>群集<rt>ぐんしゅう</rt></ruby>が <ruby>騒ぎ<ruby>出<rt>さわぎだ</rt></ruby>して <ruby>収拾<rt>しゅうしゅう</rt></ruby>がつきません。,The crowd starts to get excited and cannot be controlled.,
